"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4443","a loose GPX with no coordinates reads successfully but renders nothing","desktop-chromium","2026-07-10","passed","2026-07-10","Malformed and empty inputs","malformed-inputs.spec.js","",""
"","5655","renders the inner KML track","desktop-chromium","2026-07-10","passed","2026-07-10","Import a KMZ file","import-kmz.spec.js","",""
"","7506","deleting a trip removes it and clears the grouping","desktop-chromium","2026-07-10","passed","2026-07-10","Trips group activities","post-render-trips.spec.js","",""
"","3634","two Strava exports are rejected with a single-Strava message","desktop-chromium","2026-07-10","passed","2026-07-10","Platform conflict at render","post-render-platform-conflict.spec.js","",""
"","5609","a valid ?share= link renders the shared map","desktop-chromium","2026-07-10","passed","2026-07-10","Opening a shared link","post-render-share-consume.spec.js","",""
"","6795","a reference route draws in dashed slate without touching the stats","desktop-chromium","2026-07-10","passed","2026-07-10","Add reference routes to the map","reference-routes-draw.spec.js","",""
"","5802","all-time totals reflect every activity","desktop-chromium","2026-07-10","passed","2026-07-10","Headline metrics match the activities","stats-metrics-values.spec.js","",""
"","25282","replay is blocked in preview mode","desktop-chromium","2026-07-10","passed","2026-07-10","Replay the route animation","post-render-replay.spec.js","",""
"","7134","a shared trip carries only its own activities","desktop-chromium","2026-07-10","passed","2026-07-10","Share and view a trip","post-render-trip-share.spec.js","",""
"","7884","opening Wrapped builds a full set of cards and enables sharing","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped opens and builds","post-render-wrapped-mechanics.spec.js","",""
"","7170","draws a summit pin only for routes above the altitude threshold","desktop-chromium","2026-07-10","passed","2026-07-10","Conquered Peaks overlay","post-render-peaks.spec.js","",""
"","9862","switching period swaps the picker and rebuilds the cards","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped period and type controls","post-render-wrapped-controls.spec.js","",""
"","14871","a trip opens in the 3D view","desktop-chromium","2026-07-10","passed","2026-07-10","Share and view a trip","post-render-trip-share.spec.js","",""
"","5452","adding a loose GPS file appends to the map without replacing","desktop-chromium","2026-07-10","passed","2026-07-10","Post-render map mutations","post-render-mutations.spec.js","",""
"","2215","a v:2 link with no coords shows an error and opens nothing","desktop-chromium","2026-07-10","passed","2026-07-10","Opening a shared 3D link","post-render-share-3d.spec.js","",""
"","1692","a broken or expired link shows an error and draws nothing","desktop-chromium","2026-07-10","passed","2026-07-10","Opening a shared link","post-render-share-consume.spec.js","",""
"","7435","searching filters the list by name and type","desktop-chromium","2026-07-10","passed","2026-07-10","Journey finder","journey-finder.spec.js","",""
"","7225","sharing all cards hands the whole set to the native share sheet when available","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped card sharing","post-render-wrapped-share.spec.js","",""
"","5569","the date filter recomputes distance and elevation, not only the count","desktop-chromium","2026-07-10","passed","2026-07-10","Headline metrics match the activities","stats-metrics-values.spec.js","",""
"","7270","the year picker lists every year with activities, newest first","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped opens and builds","post-render-wrapped-mechanics.spec.js","",""
"","14666","the Image button shares the PNG when the device supports native sharing","desktop-chromium","2026-07-10","passed","2026-07-10","Exporting a 3D route as a story image","post-render-instagram-story.spec.js","",""
"","5671","a trip built from two activities lists with the right count and totals","desktop-chromium","2026-07-10","passed","2026-07-10","Trips group activities","post-render-trips.spec.js","",""
"","5724","the comparison lines and elevation milestones match the totals","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped figures match the activities","post-render-wrapped-figures.spec.js","",""
"","4473","a Strava and a Garmin export cannot be combined","desktop-chromium","2026-07-10","passed","2026-07-10","Platform conflict at render","post-render-platform-conflict.spec.js","",""
"","7027","clearing the map wipes reference routes and their toggle","desktop-chromium","2026-07-10","passed","2026-07-10","Toggle and clear reference routes","reference-routes-toggle.spec.js","",""
"","4038","two Garmin exports are rejected with a single-Garmin message","desktop-chromium","2026-07-10","passed","2026-07-10","Platform conflict at render","post-render-platform-conflict.spec.js","",""
"","7332","cancelling a removal leaves every route in place","desktop-chromium","2026-07-10","passed","2026-07-10","Post-render map mutations","post-render-mutations.spec.js","",""
"","8711","a period with no matching activities shows the empty state","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped selection edges and filenames","post-render-wrapped-selection.spec.js","",""
"","6008","the crown route, biggest climb and dominant type are the right activities","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped figures match the activities","post-render-wrapped-figures.spec.js","",""
"","24495","Try Now renders the bundled sample of 25 adventures on the map","desktop-chromium","2026-07-10","passed","2026-07-10","First visit critical journey","smoke.spec.js","",""
"","3767","an invalid ?share= id is ignored - no fetch, no shared-mode UI","desktop-chromium","2026-07-10","passed","2026-07-10","Opening a shared link","post-render-share-consume.spec.js","",""
"","7538","removing a selected route drops it and recomputes the rest","desktop-chromium","2026-07-10","passed","2026-07-10","Post-render map mutations","post-render-mutations.spec.js","",""
"","5576","an invalid session file is rejected and the current map is untouched","desktop-chromium","2026-07-10","passed","2026-07-10","Session save and restore","post-render-session.spec.js","",""
"","6489","clicking a journey opens its popup on the map","desktop-chromium","2026-07-10","passed","2026-07-10","Journey finder","journey-finder.spec.js","",""
"","5333","a share service failure is handled without opening the modal","desktop-chromium","2026-07-10","passed","2026-07-10","Share link","post-render-share.spec.js","",""
"","6576","a window whose bounds fall on activity dates includes them","desktop-chromium","2026-07-10","passed","2026-07-10","Date range filter","post-render-date-filter.spec.js","",""
"","7354","toggling an activity type hides its routes and follows the metrics count","desktop-chromium","2026-07-10","passed","2026-07-10","Type and heatmap toggles","post-render-toggles.spec.js","",""
"","6460","all-time mode aggregates across every year","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped figures match the activities","post-render-wrapped-figures.spec.js","",""
"","8423","all-time with no type filter saves under the all-time base","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped selection edges and filenames","post-render-wrapped-selection.spec.js","",""
"","8901","links FIT activities to JSON metadata and skips stubs","desktop-chromium","2026-07-10","passed","2026-07-10","Import a Garmin Connect export","import-garmin.spec.js","",""
"","5679","a source with no platform id shows no deep link","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup deep links per source","post-render-popup-links.spec.js","",""
"","6971","sharing the current card downloads a 1080x1920 PNG when native sharing is unavailable","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped card sharing","post-render-wrapped-share.spec.js","",""
"","10424","all-time by type names the saved file for all time and the type","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped period and type controls","post-render-wrapped-controls.spec.js","",""
"","6374","the rail switches the visible sidebar panel and closes it again","desktop-chromium","2026-07-10","passed","2026-07-10","Sidebar rail navigation","post-render-sidebar.spec.js","",""
"","7592","rebuilds with the peaks toggle and the active type filter","desktop-chromium","2026-07-10","passed","2026-07-10","Conquered Peaks overlay","post-render-peaks.spec.js","",""
"","8254","selecting a trip scopes the metrics, deselecting restores them","desktop-chromium","2026-07-10","passed","2026-07-10","Trips group activities","post-render-trips.spec.js","",""
"","5704","a Ride With GPS route links to ridewithgps.com","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup deep links per source","post-render-popup-links.spec.js","",""
"","4283","a valid but empty ZIP (no activities.csv, no GPS files) reports a clear error","desktop-chromium","2026-07-10","passed","2026-07-10","Malformed and empty inputs","malformed-inputs.spec.js","",""
"","8767","filtering by type in Year mode names the saved file for that type","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped period and type controls","post-render-wrapped-controls.spec.js","",""
"","6279","a complete date window hides routes outside it and follows the metrics count and totals","desktop-chromium","2026-07-10","passed","2026-07-10","Date range filter","post-render-date-filter.spec.js","",""
"","13683","the Image button downloads a 1080x1920 PNG when native sharing is unavailable","desktop-chromium","2026-07-10","passed","2026-07-10","Exporting a 3D route as a story image","post-render-instagram-story.spec.js","",""
"","27409","loading your own export replaces the Try Now sample instead of adding to it","desktop-chromium","2026-07-10","passed","2026-07-10","Reimport resets state","reimport-resets-state.spec.js","",""
"","5747","renders every activity that has a GPS file in the ZIP","desktop-chromium","2026-07-10","passed","2026-07-10","Import a Strava export ZIP","import-strava.spec.js","",""
"","6489","adding a reference reveals its own toggle, checked and on","desktop-chromium","2026-07-10","passed","2026-07-10","Toggle and clear reference routes","reference-routes-toggle.spec.js","",""
"","7434","the empty-selection state shows when a period has no activities","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped opens and builds","post-render-wrapped-mechanics.spec.js","",""
"","6994","the Find rail button opens the finder and lists every journey","desktop-chromium","2026-07-10","passed","2026-07-10","Journey finder","journey-finder.spec.js","",""
"","7978","sharing follows the selected card","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped card sharing","post-render-wrapped-share.spec.js","",""
"","8793","a FIT at the +2 second edge takes the JSON metrics","desktop-chromium","2026-07-10","passed","2026-07-10","Match Garmin FIT files to their JSON metadata","import-garmin-match-window.spec.js","",""
"","7645","a reference already on the map is not added twice","desktop-chromium","2026-07-10","passed","2026-07-10","Add reference routes to the map","reference-routes-draw.spec.js","",""
"","6790","an incomplete or reversed range does not filter","desktop-chromium","2026-07-10","passed","2026-07-10","Date range filter","post-render-date-filter.spec.js","",""
"","6700","the welcome tour auto-opens, advances and recedes through all six cards, then closes on finish","desktop-chromium","2026-07-10","passed","2026-07-10","Welcome tour walkthrough","ftu-tour-walkthrough.spec.js","",""
"","6007","creating a share link opens the modal with a ready-to-copy link","desktop-chromium","2026-07-10","passed","2026-07-10","Share link","post-render-share.spec.js","",""
"","9161","sharing all cards downloads every card when native sharing is unavailable","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped card sharing","post-render-wrapped-share.spec.js","",""
"","8823","a saved session restores routes and filter state after clearing","desktop-chromium","2026-07-10","passed","2026-07-10","Session save and restore","post-render-session.spec.js","",""
"","6348","saving the current map downloads a valid session file","desktop-chromium","2026-07-10","passed","2026-07-10","Session save and restore","post-render-session.spec.js","",""
"","6368","the type picker lists every activity type present, All types first","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped period and type controls","post-render-wrapped-controls.spec.js","",""
"","7343","the reference toggle hides only references; a type toggle hides only personal","desktop-chromium","2026-07-10","passed","2026-07-10","Toggle and clear reference routes","reference-routes-toggle.spec.js","",""
"","6140","the same payload survives serialise, compress, and reload","desktop-chromium","2026-07-10","passed","2026-07-10","Shared map round-trip","share-roundtrip.spec.js","",""
"","9027","a FIT one second past the window falls back to FIT-computed metrics","desktop-chromium","2026-07-10","passed","2026-07-10","Match Garmin FIT files to their JSON metadata","import-garmin-match-window.spec.js","",""
"","6779","clicking a record hidden by the date filter clears the date filter","desktop-chromium","2026-07-10","passed","2026-07-10","Milestones panel","post-render-milestones.spec.js","",""
"","13481","the 3D share exclusion is specific to reference routes","desktop-chromium","2026-07-10","passed","2026-07-10","Reference route popup and 3D","reference-routes-popup-3d.spec.js","",""
"","5629","the year totals match that year's activities","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped figures match the activities","post-render-wrapped-figures.spec.js","",""
"","6521","a second visit does not reopen the welcome tour","desktop-chromium","2026-07-10","passed","2026-07-10","Welcome tour walkthrough","ftu-tour-walkthrough.spec.js","",""
"","7779","collapses nearby summits to one pin and keeps the highest","desktop-chromium","2026-07-10","passed","2026-07-10","Conquered Peaks overlay","post-render-peaks.spec.js","",""
"","6741","lists all-time records by type and stays fixed when the map is filtered","desktop-chromium","2026-07-10","passed","2026-07-10","Milestones panel","post-render-milestones.spec.js","",""
"","11258","panning remembers the settled view without rewriting the session record","desktop-chromium","2026-07-10","passed","2026-07-10","Lightweight view persistence","post-render-persist-view.spec.js","",""
"","7198","clicking a virtual-ride record re-enables the indoor sub-toggle","desktop-chromium","2026-07-10","passed","2026-07-10","Milestones panel","post-render-milestones.spec.js","",""
"","6094","filtering by type narrows the figures","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped figures match the activities","post-render-wrapped-figures.spec.js","",""
"","8156","editing a trip name persists","desktop-chromium","2026-07-10","passed","2026-07-10","Trips group activities","post-render-trips.spec.js","",""
